"quanti.correlation"	"quanti.p.value"
"ENSG00000096384"	0.857510932694191	6.70809745113219e-58
"ENSG00000108953"	0.837036471589293	1.06166774384875e-52
"ENSG00000254772"	0.833414355824686	7.42634282057824e-52
"ENSG00000231500"	0.830336669926088	3.73914890428057e-51
"ENSG00000159377"	0.822823741109676	1.69313575090963e-49
"ENSG00000074800"	0.819322247854822	9.41747307915027e-49
"ENSG00000168036"	0.809602315922348	9.13685532458517e-47
"ENSG00000118181"	0.80548439085574	5.86686469347744e-46
"ENSG00000070831"	0.80462689785158	8.59309761863824e-46
"ENSG00000111640"	0.802469828814941	2.22573889067758e-45
"ENSG00000156508"	0.800771309701549	4.67038722915164e-45
"ENSG00000075624"	0.796499054723752	2.9200390300131e-44
"ENSG00000143621"	0.795960264348912	3.66799647316831e-44
"ENSG00000134308"	0.794106524986196	7.99688332184922e-44
"ENSG00000125977"	0.7891067788586	6.29220320927612e-43
"ENSG00000063046"	0.788521983076268	7.97995886057402e-43
"ENSG00000167553"	0.786170230206918	2.05936184241534e-42
"ENSG00000168028"	0.785134305808162	3.11495139932296e-42
"ENSG00000265681"	0.784965485681826	3.33153916460617e-42
"ENSG00000143742"	0.78405105823517	4.789809153663e-42
"ENSG00000065978"	0.783310011769345	6.41997852864542e-42
"ENSG00000181061"	0.78320004848204	6.70452959873998e-42
"ENSG00000168653"	0.782040134916316	1.05772668759e-41
"ENSG00000048544"	0.780649644971707	1.82031260295903e-41
"ENSG00000166794"	0.779459004430838	2.88845960419241e-41
"ENSG00000213719"	0.778320289997768	4.47997851736481e-41
"ENSG00000197728"	0.777753579007809	5.56822424383443e-41
"ENSG00000124614"	0.776975598494477	7.49743174215257e-41
"ENSG00000106153"	0.775024104484013	1.57292149868312e-40
"ENSG00000154945"	0.774193267968805	2.15143979381853e-40
"ENSG00000135624"	0.773004745800025	3.35973444522641e-40
"ENSG00000122406"	0.771291664368526	6.35705168788334e-40
"ENSG00000127022"	0.769579308899306	1.195886043898e-39
"ENSG00000084090"	0.765563627714672	5.15298126702822e-39
"ENSG00000100764"	0.764796333751759	6.78933241470627e-39
"ENSG00000115233"	0.764727790205886	6.95831288729959e-39
"ENSG00000170027"	0.764700881246461	7.02577940951759e-39
"ENSG00000114686"	0.764343069523577	7.98663156790793e-39
"ENSG00000164032"	0.764112609984993	8.6729480935258e-39
"ENSG00000196419"	0.763271005841504	1.17102890941552e-38
"ENSG00000144381"	0.763118889241825	1.23617273010224e-38
"ENSG00000184009"	0.76191282158936	1.89613195341976e-38
"ENSG00000188612"	0.76153487513527	2.16701899408797e-38
"ENSG00000143870"	0.760350289090331	3.28803230757219e-38
"ENSG00000103035"	0.759815587773351	3.96575351716794e-38
"ENSG00000114978"	0.759669753504346	4.17337094533388e-38
"ENSG00000142541"	0.758835969973104	5.58326002550382e-38
"ENSG00000138069"	0.758636920387861	5.98394631629489e-38
"ENSG00000150779"	0.757209617946691	9.81679529019162e-38
"ENSG00000143549"	0.755280724558358	1.90611931558621e-37
"ENSG00000198755"	0.754937346482543	2.14373330254432e-37
"ENSG00000145741"	0.754225204084013	2.73347974910348e-37
"ENSG00000092820"	0.75390262703584	3.05074313414734e-37
"ENSG00000109971"	0.753278996800637	3.77045911746895e-37
"ENSG00000179295"	0.752353284417626	5.15746473346836e-37
"ENSG00000164346"	0.751456355096858	6.97712062667118e-37
"ENSG00000132963"	0.750848037339898	8.5579102923726e-37
"ENSG00000158615"	0.749575088134497	1.309587241169e-36
"ENSG00000149136"	0.748823757698074	1.68138627200299e-36
"ENSG00000119314"	0.748267322002487	2.02208458253287e-36
"ENSG00000100028"	0.747100917716738	2.97229698233672e-36
"ENSG00000100380"	0.746350354179491	3.80416092981874e-36
"ENSG00000154001"	0.746274944798921	3.8994658368278e-36
"ENSG00000164924"	0.746157052408195	4.05319790904085e-36
"ENSG00000112306"	0.745519332620292	4.99430077656009e-36
"ENSG00000150753"	0.744711843333643	6.49985905729387e-36
"ENSG00000124422"	0.743776838464411	8.80777778078369e-36
"ENSG00000068489"	0.743509468390586	9.60497715726511e-36
"ENSG00000165119"	0.743431713782124	9.84987778586079e-36
"ENSG00000142168"	0.742461710425465	1.34744093465728e-35
"ENSG00000136451"	0.742435051366298	1.35906749125795e-35
"ENSG00000185627"	0.741721574835279	1.70974228514414e-35
"ENSG00000084754"	0.741205451832008	2.01762590637223e-35
"ENSG00000110958"	0.74075050217464	2.33391834662676e-35
"ENSG00000100216"	0.740415322806567	2.59774184300488e-35
"ENSG00000169714"	0.740113860185996	2.86000268394277e-35
"ENSG00000101166"	0.73925974103027	3.75317424654068e-35
"ENSG00000185825"	0.739106356320906	3.94045397240837e-35
"ENSG00000101557"	0.739006237398523	4.06763411769052e-35
"ENSG00000170540"	0.738809845528778	4.32897217567395e-35
"ENSG00000136938"	0.738622857840459	4.5931450111979e-35
"ENSG00000088930"	0.738209239154064	5.23524170982004e-35
"ENSG00000067225"	0.737795491468541	5.96586711738254e-35
"ENSG00000115484"	0.737474254892372	6.60162028929018e-35
"ENSG00000135486"	0.737198340016307	7.20064769815157e-35
"ENSG00000165678"	0.736825207489152	8.0966993971919e-35
"ENSG00000102241"	0.736716413370856	8.3780555817688e-35
"ENSG00000168439"	0.735188342968388	1.35125667382916e-34
"ENSG00000119335"	0.735072253472859	1.40103920132827e-34
"ENSG00000080824"	0.734472793239626	1.68831851823542e-34
"ENSG00000067560"	0.733621464467187	2.19844770641566e-34
"ENSG00000205352"	0.733527472661098	2.26333308389677e-34
"ENSG00000165934"	0.73315285149477	2.54122834037574e-34
"ENSG00000121774"	0.731517240831909	4.20381152490246e-34
"ENSG00000101126"	0.731432729456721	4.31414346690746e-34
"ENSG00000164111"	0.728630957590385	1.01275994146719e-33
"ENSG00000136261"	0.728409718004002	1.08286572400374e-33
"ENSG00000159352"	0.728315729296064	1.11407615190298e-33
"ENSG00000196262"	0.727270550967179	1.52684487224989e-33
"ENSG00000075711"	0.727155525327494	1.5805938525579e-33
"ENSG00000065150"	0.72707997594996	1.6169063025332e-33
"ENSG00000122565"	0.726816267959784	1.75021584675737e-33
"ENSG00000163479"	0.726525031210798	1.91004428410256e-33
"ENSG00000124207"	0.726479698892408	1.93618302492195e-33
"ENSG00000197622"	0.726277629027317	2.0570490093029e-33
"ENSG00000166913"	0.726122926009368	2.1545791848825e-33
"ENSG00000165637"	0.726097160120617	2.17125963609523e-33
"ENSG00000135535"	0.725726003873555	2.4261403490003e-33
"ENSG00000126067"	0.725514355033852	2.58445263480431e-33
"ENSG00000152558"	0.725488103220319	2.6047849413538e-33
"ENSG00000165732"	0.725176602339405	2.85841232603317e-33
"ENSG00000165527"	0.724927852427822	3.07828678532187e-33
"ENSG00000244687"	0.724766043244943	3.23017178308741e-33
"ENSG00000105220"	0.724279021606696	3.73328717035845e-33
"ENSG00000114902"	0.724040176986286	4.00749270214923e-33
"ENSG00000166598"	0.723965018506213	4.09781339093592e-33
"ENSG00000068697"	0.723705388812802	4.42552210044499e-33
"ENSG00000139726"	0.723667733426361	4.47514700359665e-33
"ENSG00000139233"	0.723544522195638	4.64138595323426e-33
"ENSG00000111786"	0.721634542295636	8.1490749278548e-33
"ENSG00000163682"	0.720131856143043	1.2647629451254e-32
"ENSG00000113643"	0.719711068102014	1.42969127977939e-32
"ENSG00000057608"	0.719498113845609	1.52105744888806e-32
"ENSG00000171863"	0.719483439798949	1.5275608884779e-32
"ENSG00000260032"	0.719273249806541	1.62377764844792e-32
"ENSG00000115053"	0.719264717680314	1.62780689987799e-32
"ENSG00000118680"	0.718030892645992	2.32718478746126e-32
"ENSG00000136156"	0.717862500992803	2.44316041057554e-32
"ENSG00000085733"	0.717625087389653	2.61640082099041e-32
"ENSG00000176340"	0.717073736220902	3.06676852899502e-32
"ENSG00000143545"	0.716768404920586	3.3481800168714e-32
"ENSG00000138071"	0.716465583957623	3.65235959381335e-32
"ENSG00000089009"	0.715847215458362	4.36050845140351e-32
"ENSG00000151694"	0.715830162751747	4.38184134484651e-32
"ENSG00000100442"	0.715808133916818	4.40955158985112e-32
"ENSG00000132341"	0.715565540385494	4.72636412334915e-32
